Nomi	Genere
Giuseppe	1
Giovanni	1
Antonio	1
Mario	1
Luigi	1
Francesco	1
Angelo	1
Vincenzo	1
Pietro	1
Salvatore	1
Carlo	1
Franco	1
Domenico	1
Bruno	1
Paolo	1
Michele	1
Giorgio	1
Aldo	1
Sergio	1
Luciano	1
Maria	2
Anna	2
Giuseppina	2
Rosa	2
Angela	2
Giovanna	2
Teresa	2
Lucia	2
Carmela	2
Caterina	2
Francesca	2
Anna Maria	2
Antonietta	2
Carla	2
Elena	2
Concetta	2
Rita	2
Margherita	2
Franca	2
Paola	2
Tommaso	1
Gabriella	2
Federico	1
Pietro	1
Rocco	1
Sara	2
Giulio	1
Giulia	2
Michela	2
Daniele	1
Giovanna	2
Roberto	1
Roberta	2
Fabio	1
Andrea	1
Mattia	1
Lorenzo	1
Alessandro	1
Simone	1
Luca	1
Paolo	1
Riccardo	1
Marco	1
Tommaso	1
Giulia	2
Alessia	2
Gaia	2
Sara	2
Chiara	2
Viola	2
Alice	2
Aurora	2
Valentina	2
Ginevra	2
